r1_s1,r2_s1,r3_s1,r4_s1,r5_s1,r6_s1,r7_s1,r8_s1,r9_s1,r10_s1,r11_s1,r12_s1,r13_s1,r14_s1,r15_s1,r16_s1,r17_s1,r18_s1,r19_s1,r20_s1,r21_s1,r22_s1,r23_s1,r24_s1,r25_s1,r26_s1,r27_s1,r28_s1,r29_s1,r30_s1,r31_s1,r32_s1,r33_s1,r34_s1,r35_s1,c1_s1,c2_s1,c3_s1,c4_s1,o1_s1,outside_s1,r1_s2,r2_s2,r3_s2,r4_s2,r5_s2,r6_s2,r7_s2,r8_s2,r9_s2,r10_s2,r11_s2,r12_s2,r13_s2,r14_s2,r15_s2,r16_s2,r17_s2,r18_s2,r19_s2,r20_s2,r21_s2,r22_s2,r23_s2,r24_s2,r25_s2,r26_s2,r27_s2,r28_s2,r29_s2,r30_s2,r31_s2,r32_s2,r33_s2,r34_s2,r35_s2,c1_s2,c2_s2,c3_s2,c4_s2,o1_s2,outside_s2,r1_s3,r2_s3,r3_s3,r4_s3,r5_s3,r6_s3,r7_s3,r8_s3,r9_s3,r10_s3,r11_s3,r12_s3,r13_s3,r14_s3,r15_s3,r16_s3,r17_s3,r18_s3,r19_s3,r20_s3,r21_s3,r22_s3,r23_s3,r24_s3,r25_s3,r26_s3,r27_s3,r28_s3,r29_s3,r30_s3,r31_s3,r32_s3,r33_s3,r34_s3,r35_s3,c1_s3,c2_s3,c3_s3,c4_s3,o1_s3,outside_s3
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.75,0.0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005633802816901409,0.0,0.0,0.0,0.0,0.00046051116739580933,0.9833784306146115,0.0,0.0,0.0,0.0004576659038901602,0.0,0.0012300123001230013,0.0008673026886383347,0.0,0.0021645021645021645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023651145602365115,0.0,0.0013783597518952446,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.5,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.42105263157894735,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613259668508287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.5806451612903225,0,0,0,0.0,0,0,0.0,0,0,0.1111111111111111,0,0,0.25,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012658227848101266,0.011267605633802818,0.0,0.0,0.0,0.0413625304136253,0.0,0.0,0.0,0.8971848225214198,0.0008149959250203749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004484304932735426,0.3025210084033613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796251018744906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862700228832952,0.0,0.0,0.0,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016999260901699925,0.0,0.0027567195037904893,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.625,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023025558369790466,0.0,0.0,0.0,0.0,0.0,0.9822616407982262,0.0012300123001230013,0.0008673026886383347,0.0,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019216555801921657,0.0,0.0006891798759476223,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.935483870967742,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6666666666666667,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972939729397294,0.0,0.000578368999421631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014781966001478197,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.875,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011086474501108647,0.0012300123001230013,0.9826539462272333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011825572801182557,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978021978021978,0.0,0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025129342202512936,0.0,0.0013783597518952446,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.5,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005912786400591279,0.0,0.0013783597518952446,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
